load_date,load_lat,load_lng,unload_lat,unload_lng
3/3/2014,48.9700000000,9.3286000000,48.9030000000,7.9523000000
3/5/2014,48.4130000000,9.4913000000,48.6000000000,-4.5000000000
3/3/2014,49.1423000000,9.2234000000,48.8592000000,2.3417000000
3/3/2014,48.8919000000,8.6985000000,48.2077000000,16.3705000000
3/3/2014,48.4833000000,10.8500000000,47.2627000000,-1.6711000000
3/4/2014,48.4833000000,10.8500000000,47.2627000000,-1.6711000000
3/4/2014,48.0343000000,10.7249000000,48.2730000000,-1.2912000000
3/4/2014,48.0343000000,10.7249000000,48.2730000000,-1.2912000000
3/5/2014,48.3582000000,10.1598000000,48.8592000000,2.3417000000
3/6/2014,48.3582000000,10.1598000000,48.8592000000,2.3417000000
3/4/2014,48.3731000000,10.2925000000,45.7676000000,4.8345000000
3/4/2014,49.4072000000,11.0352000000,48.6354000000,7.7414000000
3/5/2014,49.4072000000,11.0352000000,48.6354000000,7.7414000000
3/4/2014,49.4072000000,11.0352000000,48.6354000000,7.7414000000
3/4/2014,49.4072000000,11.0352000000,48.6354000000,7.7414000000
3/5/2014,49.4072000000,11.0352000000,48.6354000000,7.7414000000
3/3/2014,49.2334600000,10.2753100000,48.2298200000,16.3853100000
3/3/2014,46.2665000000,1.8687000000,49.2456000000,0.2817000000
3/4/2014,44.8902700000,-0.1763100000,50.6033900000,8.6212400000
3/3/2014,45.8197800000,1.2854200000,46.9816100000,3.2112900000
3/3/2014,50.8901700000,3.4223600000,52.3883600000,13.3370600000
3/3/2014,50.3586400000,3.0766500000,50.2646000000,19.0213700000
3/3/2014,51.4739300000,3.9107100000,52.2306100000,17.2757100000
3/3/2014,51.4739300000,3.9107100000,52.2306100000,17.2757100000
3/3/2014,51.6558000000,4.4083000000,52.2167000000,13.5167000000
3/3/2014,50.7369000000,8.2873000000,48.2077000000,16.3705000000
3/3/2014,50.5518000000,9.6833000000,49.8836000000,4.0466000000
3/3/2014,50.5518000000,9.6833000000,48.9470000000,3.3779000000
3/3/2014,50.6412000000,9.4023000000,47.2627000000,11.3945000000
3/3/2014,50.3127000000,9.6234000000,47.7285000000,16.9371000000
3/3/2014,50.8152000000,7.1720000000,50.4464000000,2.9048000000
3/3/2014,49.8167000000,6.9833000000,45.5165000000,9.0649000000
3/3/2014,50.0010000000,8.2688000000,45.5165000000,9.0649000000
3/3/2014,50.3567000000,7.5932000000,47.5865000000,13.7820000000
3/3/2014,50.3567000000,7.5932000000,47.5865000000,13.7820000000
3/3/2014,50.3567000000,7.5932000000,47.5865000000,13.7820000000
3/3/2014,50.3567000000,7.5932000000,50.7020000000,2.7783000000
3/3/2014,50.3849000000,7.5741000000,48.9539000000,4.3672000000
3/3/2014,50.3849000000,7.5741000000,47.5310000000,-0.5278000000
3/3/2014,50.0833000000,7.5167000000,45.5165000000,9.0649000000
3/3/2014,50.3500000000,7.3833000000,46.9672000000,4.9716000000
3/3/2014,50.4369000000,7.5452000000,48.5333000000,2.6667000000
3/3/2014,50.8998000000,8.1513000000,48.2077000000,16.3705000000
3/3/2014,50.7000000000,7.7500000000,47.1844000000,9.7054000000
3/3/2014,49.8400000000,9.1414000000,48.7167000000,16.3833000000
3/3/2014,50.0817000000,8.2389000000,48.6537000000,7.2364000000
3/3/2014,50.0450000000,8.2453000000,45.8976000000,4.8373000000
3/3/2014,50.3833000000,8.0500000000,48.2000000000,15.6333000000
3/3/2014,49.3228000000,8.4279000000,48.5839000000,7.7455000000
3/3/2014,49.6326000000,8.3619000000,49.4428000000,1.7799000000
3/3/2014,49.6326000000,8.3619000000,49.4428000000,1.7799000000
3/3/2014,50.3091000000,9.7871000000,47.7285000000,16.9371000000
3/3/2014,49.7539000000,9.5154000000,45.8520000000,4.5819000000
3/3/2014,50.5518000000,9.6833000000,47.9029000000,1.9039000000
3/3/2014,50.5518000000,9.6833000000,48.9472000000,3.0833000000
3/3/2014,50.5518000000,9.6833000000,49.3770000000,3.2777000000
3/3/2014,50.5518000000,9.6833000000,49.2500000000,4.0333000000
3/3/2014,50.3567000000,7.5932000000,43.5283000000,5.4497000000
3/3/2014,50.4275000000,9.1985000000,49.3770000000,3.2777000000
3/3/2014,50.4275000000,9.1985000000,48.9472000000,3.0833000000
3/3/2014,50.4275000000,9.1985000000,49.2500000000,4.0333000000
3/3/2014,50.4275000000,9.1985000000,47.9029000000,1.9039000000
3/3/2014,49.4885000000,8.4562300000,48.8260000000,2.4653200000
3/3/2014,50.2635300000,9.6465300000,47.7469100000,16.9309500000
3/3/2014,50.3284400000,9.7638700000,47.7469100000,16.9309500000
3/3/2014,51.2167000000,4.4167000000,52.0245000000,8.5326000000
3/3/2014,51.2167000000,4.4167000000,52.0613000000,8.7341000000
3/3/2014,51.2167000000,4.4167000000,52.0613000000,8.7341000000
3/3/2014,51.2167000000,4.4167000000,52.0245000000,8.5326000000
3/3/2014,51.1333000000,4.3833000000,51.7833000000,10.2167000000
3/3/2014,51.0500000000,3.7167000000,50.6833000000,8.2000000000
3/3/2014,51.4454800000,3.5720700000,51.9049100000,8.3796300000
3/5/2014,44.8404000000,-0.5805000000,47.5992000000,7.6073000000
3/6/2014,44.8404000000,-0.5805000000,47.5992000000,7.6073000000
3/7/2014,44.8404000000,-0.5805000000,47.5992000000,7.6073000000
3/4/2014,46.3728000000,-0.4721000000,51.2500000000,4.5000000000
3/4/2014,46.3728000000,-0.4721000000,51.2500000000,4.5000000000
3/3/2014,45.1957000000,-0.2167700000,42.4369400000,12.1590400000
3/3/2014,45.2821000000,-0.1072000000,45.1840700000,0.7232200000
3/3/2014,45.2690200000,1.7733300000,52.1765900000,10.3514100000
3/3/2014,45.4358500000,1.4290200000,44.4249900000,7.5207200000
3/3/2014,44.8727300000,0.5074300000,51.8020400000,9.6867700000
