cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
1300,1405,4.875,14/07/31 15:00,14/08/05 12:00,47.00000000,0.53330000,45.9388,8.7828,,642,763,45.69395018
2350,1129,2,14/08/06 8:00,14/08/08 8:00,45.58390000,11.04230000,43.8043,1.4437,,783,346,69.3534101
750,856,2.833333333,14/08/08 16:00,14/08/11 12:00,43.90660000,2.69290000,50.1,2.3,,689,167,80.49065421
212,431,0.541666667,14/08/11 23:00,14/08/12 12:00,49.18800000,1.81180000,50.9833,5.6833,,340,91,78.8863109
535,609,0.791666667,14/08/12 15:00,14/08/13 10:00,50.86670000,5.63330000,51.5667,12.3833,,476,133,78.16091954
328.775607,619,0.958333333,14/08/13 16:00,14/08/14 15:00,51.19680000,13.64990000,51.0333,20.6667,,489,130,78.99838449
940,696,2.645833333,14/09/12 17:30,14/09/15 9:00,50.70000000,5.86670000,46.2079,3.932,,519,177,74.56896552
700,493,0.75,14/09/15 14:00,14/09/16 8:00,46.23330000,4.06670000,43.3195,6.139,,362,131,73.42799189
1400,872,1.916666667,14/09/17 15:00,14/09/19 13:00,44.86130000,8.37140000,49.0412,2.3876,,649,223,74.4266055
1120,626,0.75,14/09/25 18:00,14/09/26 12:00,50.75690000,9.64300000,49.4336,2.8881,,503,123,80.3514377
950,679,3.041666667,14/09/26 15:00,14/09/29 16:00,48.81080000,2.32320000,44.2102,4.8738,,547,132,80.55964654
900,283,1.041666667,14/09/30 11:00,14/10/01 12:00,45.81740000,9.08150000,47.6138,8.2335,,209,74,73.85159011
250,411,1,14/03/03 8:00,14/03/04 8:00,47.52650000,-0.05530000,49.7833,3,,336,75,81.75182482
160,247,0.583333333,14/03/04 21:00,14/03/05 11:00,48.96950000,2.47930000,49.3667,5.3833,,215,32,87.04453441
400,586,1,14/03/06 8:00,14/03/07 8:00,49.53540000,5.17930000,52.9667,9,,464,122,79.18088737
870,977,3.583333333,14/07/17 17:00,14/07/21 7:00,51.70000000,14.16670000,45.6689,10.535,,721,256,73.79733879
1320,535,1,14/07/21 8:30,14/07/22 8:30,45.60930000,11.54220000,46.1197,6.1439,,421,114,78.69158879
850,710,1.041666667,14/07/23 11:00,14/07/24 12:00,46.60110000,6.58790000,44.0517,1.292,,501,209,70.56338028
1200,1243,2,14/07/29 8:00,14/07/31 8:00,43.81220000,1.08220000,50.0017,10.1618,,973,270,78.27835881
450,765,3.625,14/07/31 17:00,14/08/04 8:00,48.92910000,10.76870000,44.9288,8.6895,,471,294,61.56862745
1850,866,2,14/08/04 8:00,14/08/06 8:00,46.04620000,8.66670000,49.0238,9.272,,334,532,38.56812933
300,289,0.833333333,14/08/06 13:00,14/08/07 9:00,49.31800000,9.64330000,51.1722,10.4185,,213,76,73.70242215
350,421,0.375,14/03/13 23:00,14/03/14 8:00,53.85990000,10.22230000,51.4216,6.7898,,356,65,84.56057007
440,457,2.708333333,14/03/14 14:00,14/03/17 7:00,51.42490000,6.48380000,49.0851,8.7307,,305,152,66.73960613
600,750,0.833333333,14/03/17 12:00,14/03/18 8:00,48.90000000,8.15000000,45.7047,11.4058,,431,319,57.46666667
1150,713,0.958333333,14/03/18 17:00,14/03/19 16:00,45.53000000,11.08380000,49.6072,11.0352,,453,260,63.53436185
530,701,0.833333333,14/03/20 15:00,14/03/21 11:00,50.20240000,10.60980000,45.6609,10.4845,,505,196,72.03994294
2100,1384,2.958333333,14/03/21 16:00,14/03/24 15:00,45.51940000,10.37340000,51.2154,2.2997,,868,516,62.71676301
720,845,0.75,14/03/25 14:00,14/03/26 8:00,51.19650000,2.21770000,49.6502,11.848,,703,142,83.19526627
550,527,0.916666667,14/03/26 16:00,14/03/27 14:00,50.06720000,12.74220000,50.1138,7.0181,,408,119,77.41935484
470,450,2.916666667,14/03/28 14:00,14/03/31 12:00,50.13330000,7.31670000,48.1779,4.4974,,298,152,66.22222222
890,819,2,14/03/31 8:00,14/04/02 8:00,48.40090000,5.94840000,51.2712,13.3363,,618,201,75.45787546
450,702,1.916666667,14/04/02 12:00,14/04/04 10:00,51.40000000,12.75000000,52.45,21,,577,125,82.19373219
630,615,1,14/04/23 8:00,14/04/24 8:00,54.09200000,11.46360000,51.345,8.2984,,372,243,60.48780488
1300,484,2.791666667,14/04/25 13:00,14/04/28 8:00,50.73330000,7.46670000,47.6046,8.081,,350,134,72.31404959
